Artikelnummer;Artikelname
A04015;Frisch Roastbeef argentinisch vac. - *ca. 4-5kg - *per kg
A04016;Frisch Roastbeef brasilianisch vac. - *ca. 4-5kg - *per kg
A04017;Frisch Rinder Semerrolle vac. - *ca. 2kg
A04018;Frisch Schweinefilet ohne Kopf&Kette vac. - *ca. 1,6kg - *per kg
A04019;Frisch Schweinelachs vac. - *ca. 4kg - *per kg
A04020;Frisch Schweinenacken ohne Knochen vac. - *ca. 2kg - *per kg
A04012;Frisch Rinderleber deutsch - *ca. 4kg - *per kg
A04013;Frisch Rindersteakhüfte argentinisch vac. - *ca. 2,5kg - *per kg
A04022;Frisch Schweinerippen geschnitten vac. - *ca. 2kg
A06247;Frisch Petersilie Krause - per Bund
A04103;Dembra Salami Rind ganz - *ca. 2kg
A04104;Dembra Salami Rind Kal.80 geschnitten - *ca.1kg
A04107;Best Salami Kal.65 geschnitten - 1kg
A04108;Best Salami Kal.80 geschnitten - 1kg
A06232;Frisch Rosmarin - 100g
A06233;Frisch Thymian - 100g
A06234;Frisch Eisberg
A04605;"Holl. Gouda 48% ""Frau Antje"" - *ca.15kg"
A04606;Milram Gouda 45% Brotware - *ca.3kg
A04607;Milram Gouda 48% Blockware - *ca.15kg
A04600;"Holl. Edamer 40% ""Frau Antje"" - *ca.15kg"
A05307;Dembra Dönersoße - 10kg
A05308;Dembra Hot-Chili Soße - 10kg
A06564;Oliven schwarz mit Stein Mammut - 4400ml
A04009;Frisch Rinderfilet argentinisch 3/4 vac. - *ca. 1,6kg - *per kg
A04010;Frisch Rinderfilet argentinisch 4/5 vac. - *ca. 2kg - *per kg
A05354;Palapa Jalapeno Cheese Soße Dip - 1L
A04215;Valcontra Tipo Parma Schinken 1/4 - *ca.1kg
A04302;Frisch Bauchspeck geräuchert - *ca. 2kg
A04643;Salakis Schafskäse 48% - *ca.2kg
A04644;Sormani Schafskäse Pecorino mit Pfeffer - *ca.1kg
A04645;Sormani Schafskäse Pecorino mit Rucola - *ca.1kg
A04647;Sormani Schafskäse Pecorino Natur - *ca.1kg
A04648;Sormani Schafskäse Pecorino Peperoncino - *ca.1kg
A04627;Isola Fresca Gorgonzola 1/16 - *ca.750g
A06568;Cana Oliven Grün in scheiben - 4250ml
A07699;Schaumlöffel - 16cm 41cm - 5967
A04000;Frisch Hähnchenbrustfilet vac. - *ca. 2,5kg - *per kg
A04214;Valcontra Tipo Parma Schinken 1/2 - *ca.3kg
A04002;Frisch Putenbrust Hahn vac. - *ca. 3kg - *per kg
A04003;Frisch Gehacktes 50/50% - *per kg
A04005;Frisch Kalbsrücken hell&ohne Knochen vac. - *ca. 2kg - *per kg
A04006;Frisch Entrecote argentinisch vac. - *ca. 2kg - *per kg
A04007;Frisch Falsches Filet Rind vac. - *ca. 1,8kg - *per kg
A04636;Arvaniti Feta Schafskäse - 12,5kg
A04629;Parmesankäse Grana Padano D.O.P - *ca. 2kg
A02468;(X)Bols Triple Sec Curacao 38%vol. - 0,7L
A04414;(X) Goldaue Bratwurst im Naturdarm - 20x150g
A04415;Goldaue Bratwurst im Naturdarm - 30x120g
A06210;Frisch Kartoffeln geviertelt&geschält - 5kg
A06211;Frisch Grillkartoffel Übergröße - 25kg
A06207;Frisch Gurken per Stk.
A03914;TK Lachsfilet seiten m.Haut salmo salar Trimm D - *ca.1,5kg
A03915;Frisch Thunfischfilet aus dem Mittelstück - *per kg
A04210;San Michele Tipo Parma Mattonella Schinken - *ca.2,5kg
A04211;San Michele Tipo Parma Pelatello Schinken - *ca.5,5kg
A06204;Frisch Auberginen - *per kg
A06205;Frisch Champignons mittel - 3kg
A06228;Frisch Zucchini - *per kg
A06214;Frisch Lauchzwiebeln - per Bund
A06485;Velda Peperoni grün geschnitten - 10kg
A06486;Velda Peperoni grün mit Stiel No1 - 10kg
A06489;Pizza Soße California - 5x3kg
A06206;Frisch Cherrytomaten - *per kg
A07203;Medjoul Datteln - 5kg
A06257;Frisch Zitronen - *per kg
A10631;(X)TK Ranch Master Gigaburger 20x227g - 4,54kg
A06216;Frisch Lollo Bionda per Stk.
A06217;Frisch Lollo Rosso per Stk.
A06218;Frisch Metzger Zwiebel - 25kg
A06219;Frisch Kimco Möhren - 10kg
A06220;Frisch Paprika grün - *per kg
A06221;Frisch Paprika rot - *per kg
A06222;Frisch Petersilie glatt - per Bund
A06223;Frisch Rote Zwiebel 75/105 - 10kg
A06224;Frisch Rotkohl - 15kg
A06225;Frisch Schnittlauch - per Bund
A06226;Frisch Strauchtomaten - *per kg
A06227;Frisch Weißkohl - 25kg
A07501;Gas Lavasteingrill (7 kW) Grillrost neigbar
A06200;Eier Größe M - 30Stk.
A08310;Feinkostbecher mit Anhang (125ml) eckig - 10x50Stk.
A08311;Feinkostbecher mit Anhang (200ml) eckig - 10x50Stk.
A08312;Feinkostbecher mit Anhang (250ml) eckig - 10x50Stk.
A07503;Klappbox blau max. 60kg - 61L
A06199;(B)Eier vakuumiert gekocht&geschält - 156Stk
A05120;Desmond's Lemon Squash - 0,75L
A08222;(X)Trinkbecher mit Coca-Cola Druck 0,3L Pappe - 100Stk.
A08223;(X)Trinkbecher mit Coca-Cola Druck 0,5L Pappe - 50Stk.
A08877;Ripboxx Meals mit Anhang (2-teilig) - 25Stk.
A08878;Ripboxx Meals mit Anhang (3-teilig) - 25Stk.
A08010;Aluplatte (R67G) groß tief - 1Stk.
A08011;Aluplatte (R70G) groß flach - 1Stk.
A08210;Dom-Deckel mit Loch für Smoothie Pet - 50Stk.
A08504;Frischhaltefolie transparent (45cmx300m) - 1 Rolle
A08505;Frischhaltefolie transparent 600g (30cm) - 1 Rolle
A08506;Wickelstretchfolie transp. 50cm, 21my, 1800g
A04512;Wernsing Tzatziki - 10kg
A06554;Oliven grün gefüllt mit Paprika Mammut (101-110) - 10kg
A06560;Oliven schwarz mit Stein Super Colossal (111-120) - 3kg
A07506;Siegelgerät IP 245
A07686;Thermo Future Box Pizza 538x337x217mm Nr. 10043
A08500;Alufolie 11my (45cm) - 1500g
A07687;Thermo Future Box Pizza 605x605x250mm Nr. 12273
A07688;Thermo Future Box Pizza 625x425x200mm Nr. 12643
A07689;Thermo Future Box Pizza 625x425x300mm Nr. 12673
A07690;Kohlensäure Co² - 10kg
A07691;Propangas Füllung - 11kg
A07625;Pizzateig-Behälter mit geschl. Rand - HDPE 600x400x70mm - 6186
A08051;Teufolino Alu-Deckel (209) - 100Stk.
A07678;Thermo Future Box Pizza 330x270x167mm Nr. 11033
A07679;Thermo Future Box Pizza 350x350x100mm Nr. 12013
A07680;Thermo Future Box Pizza 350x350x175mm Nr. 12023
A07681;Thermo Future Box Pizza 350x350x265mm Nr. 12043
A07682;Thermo Future Box Pizza 365x350x210mm Nr. 10363
A07683;Thermo Future Box Pizza 420x420x197mm Nr. 12153
A07684;Thermo Future Box Pizza 535x535x215mm Nr. 12173
A07685;Thermo Future Box Pizza 538x337x167mm Nr. 10033
A08044;Deckel für Aluschale R67G/R70G groß - 1Stk.
A08047;Deckel für Aluschale R98L / 131 - 50Stk.
A09411;Pizza Box Pan2Go 20x4 - 100Stk.
A09412;Pizza Box Pan2Go 24x4 - 100Stk.
A09413;Pizza Box Pan2Go 32x4 - 100Stk.
A09414;Pizza Box San Marino Lünen 24x4 - 100Stk.
A09415;Pizza Box San Marino Lünen 28x4 - 100Stk.
A09416;Pizza Box San Marino Lünen 32x4 - 100Stk.
A09418;Pizza Box San Marino Lünen 45x45 - 50Stk.
A09400;Pizza Box Corona 26x3 - 200Stk.
A09401;Pizza Box Corona 30x3 - 200Stk.
A07617;Fladen-/Pizzablech (Blaublech) Ø34cm - 9534
A09403;Pizza Box La Medya 26x4 - 100Stk.
A09404;Pizza Box La Medya 30x4 - 100Stk.
A09405;Pizza Box La Pietra 24x4 - 100Stk.
A09406;Pizza Box La Pietra 30x4 - 100Stk.
A09407;Pizza Box La Stella 26x4 - 100Stk.
A09408;Pizza Box La Stella 28x4 - 100Stk.
A09409;Pizza Box La Stella 30x4 - 100Stk.
A09046;Kopierpapier weiß (DIN A4) 80g - 5x500Stk.
A08882;(X)Salatbox (148) flach&schwarz - 100Stk.
A09300;Pizza Karton Treviso 22x22x3 - 200Stk.
A04668;(B) Milram Edamer 30% Brotware - *ca. 3kg
A10114;(X)TK Mora Carrero 15x140g - 2,1kg
A05833;Maggi Jägersoße mit Champignons - 2,5kg
A10500;TK Hähnchen-Döner Spieß (halal) - 10kg
A08319;Styrobecher (FC20) - 25Stk.
A08320;Styrobecher (FC24) - 25Stk.
A08707;Tragetasche mit griechischem Druck (30+18x50cm) - 100Stk.
A08708;Tragetasche mit Pizza Druck (36+24x59cm) - 100Stk.
A08800;"Burgerbox Pappe ""groß"", 130x130x90mm - 100Stk."
A08801;(X) Burgerbox aus Pappe klein - 50Stk.
A03429;Frießinger Mühle Pizzamehl La Farina 14 - 10kg
A02805;Vedova Millesimato Valdobiadene 11%vol. - 0,75L
A10803;TK Pulpo ganz Blume roh (Grs.1,5-2kg) - *per kg
A10804;TK Pulpo ganz gereinigt roh (Grs.1000-2000) - *per kg
A10805;TK Pulpo ganz gereinigt roh (Grs.2000-3000) - *per kg
A10806;TK Pulpo ganz gereinigt roh (Grs.3000-4000) - *per kg
A09419;Pizza Box San Marino Lünen Calzone 27 - 100Stk.
A08721;Gummibänder - 1kg
A06244;Frisch Fenchel - *per kg
A06248;Frisch Knollensellerie - *per kg
A06563;Oliven schwarz mit Stein Super Colossal (111-120) - 13kg
A09421;Pizza Box Teufolino 20x4 - 100Stk.
A09422;Pizza Box Teufolino 26x4 - 100Stk.
A09423;Pizza Box Teufolino 33x4 - 100Stk.
A09550;Toilettenpapier Gigant 2-lagig - 1x360m
A10103;TK Bergpracht Mozzarella Perlen 45% - 1kg
A10501;TK Hähnchen-Döner-Spieß (halal) - 5kg
A11000;TK Putenbrust Hahn vac. - *ca. 3kg - *per kg
A11002;TK Kalbsleber deutsch - *ca. 2,5kg
A11004;TK Lammfilet Neuseeland - *ca. 0,5kg
A11005;TK Lammhinterhaxen Neuseeland - *ca. 800g
A11006;TK Lammhüftsteak Neuseeland - *ca. 1kg - *per kg
A11007;TK Lammkarree/krone (Frenched Racks) Neuseeland - *ca. 1kg - *per kg
A11008;TK Lammkeule mit Knochen Neuseeland - *ca. 1,8kg
A11009;TK Lammkeule ohne Knochen Neuseeland - *ca. 1,5kg
A11010;TK Lammkotelett ohne Hüfte geschnitten Neuseeland - *ca. 1,5kg - *per kg
A11013;TK T-Bone Steak - 500g
A11014;TK Schweinefilet o. Kopf o. Kette (DE) - *per kg
A10709;(B) TK Sprehe Putenschnitzel paniert 120g - 3kg
A10505;TK Gyros Spieß aus Schwein - 10kg
A10506;TK Gyros Spieß aus Schwein - 15kg
A10507;TK Gyros Spieß aus Schwein - 5kg
A06215;Frisch Limetten per Stk.
A10123;TK Paul´s Chicken Strips Spicy Style - 1kg
A01179;Glas Selters Classic - 24x0,25L
A01178;Glas Selters Classic - 12x0,75L
A10859;TK Lachs-Carpaccio - 10x80g
A05375;Tabasco Red Pepper - 60ml
A05374;Tabasco Red Pepper - 350ml
A05373;Tabasco Green Pepper - 60ml
A02007;Fass Actien Dab Pilsener - 50L
A11136;(X)TK Bonduelle Markerbsen fein - 2,5kg
A11135;TK Bonduelle Grüne Brechbohnen fein - 2,5kg
A11134;TK Bonduelle Paprika rot/gelb gegrillt - 1kg
A06524;Dole Ananas Stücke 1/18 - ATG 1914g
A06584;"Dole Ananas Stücke ""Ringpull"" - ATG 340g"
A02020;Fass Warsteiner Pils - 50L
A02019;Fass Warsteiner Pils - 30L
A10165;(X)TK Salomon Chik'n Thigh Hot Honey, gegart - 1,5kg
A10164;TK Salomon Pork Belly Chunks - 1kg
A02004;Fass Veltins Pilsener - 30L
A02018;Fass Veltins Pilsener - 50L
A02012;Fass Hövels Original Bitterbier - 30L
A01180;Glas Selters Naturell Gastro - 12x0,75L
A01181;Glas Selters Naturell Gastro - 24x0,25L
A02011;Fass Brinkhoff's - 50L
A02010;Fass Brinkhoff's - 30L
A01102;Glas Apollinaris Selection - 12x0,75L
A01103;Glas Apollinaris Selection - 24x0,25L
A02013;Fass König Pilsener - 50L
A02009;Fass Bitburger Pils - 50L
A02008;Fass Bitburger Pils - 30L
A02017;Fass Kronen Pils - 50L
A02016;Fass Kronen Pils - 30L
A01193;Glas Vio Still - 24x0,25L
A01192;Glas Vio Still - 12x0,75L
A10019;(X)TK Martin's Hot Dog Potato Rolls - 8x8Stk.
A05299;Lee Kum Kee Sojasoße hell - 500ml
A05400;Lee Kum Kee Sojasoße dunkel Premium - 8L
A05401;Lee Kum Kee Sojasoße hell Premium - 8L
A05402;Lee Kum Kee Panda Austernsoße - 2,27kg
A05403;Lee Kum Kee Hoisin Soße - 2,27kg
A02360;Monnet Vsop Cognac 40%vol. - 0,7L
A02253;Chivas Regal 12 Years 40%vol. - 0,7L
A02243;Canadian Club Whiskey 40%vol. - 0,7L
A05295;Cock Rote Currypaste - 1kg
A05296;Cock Grüne Currypaste - 1kg
A05297;Cock Gelbe Currypaste - 1kg
A05298;Cock Massaman Currypaste - 1kg
A05292;Cock Tom Yum Paste scharf&sauer - 900g
A05305;Sweet Chili Soße für Huhn - 4,5L
A05306;Sweet Chili Soße für Huhn - 650ml
A02346;Maker's Mark Bourbon Whisky 45%vol. - 0,7L
A02416;Southern Comfort Whisky-Likör 35%vol. - 0,7L
A10122;TK Ozan Falafel Classic - 1kg
A10892;TK Doradenfilet mit Haut Royal (120-160g) - 1kg
A10813;TK Doradenfilet mit Haut Royal (80-120g) - 1kg
A04114;Fenchelsalami Finocchiona IGP - *ca. 3kg
A04111;Coati Salsiccia Piccante - *ca.1,1kg
A04677;Manchego spanischer Mischkäse (Abadesa) - *ca. 1kg
A04112;Coati Spianata Piccante - *ca.1,2kg
A04240;(X)Coati Nobile Erbe Kochschinken mit Kräutern - *ca. 4kg
A03425;Rahmer Pizzamehl (Typ00) - 10kg
A03426;Rahmer Pizzamehl (Typ00) - 10x1kg
A03427;Rahmer Pizzamehl Tipo 00 - 25kg
A04242;Coati Salami Milano - *ca. 1,8kg
A10855;TK Tintenfisch Tentakel Gigas (3-4kg) *per kg
A04206;Coati Cotto Blu Hinterschinken gekocht - *ca.4kg
A04131;Bresaola Punta d'Anca Rindfleisch luftgetrocknet 1/2 - *ca. 1,5kg
A02801;Taittinger Brut Reserve Champagner - 0,75L
A02608;Taittinger Brut Prestige Rose - 0,75L
A02300;Grand Marnier Cordon Rouge Orangenlikör 40%vol. - 0,7L
A02909;Piper-Heidsieck Cuvée Brut Champagner 12%vol. - 0,75L
A02366;Noilly Prat Französischer Wermutwein 18%vol. - 1L
A02389;Remy Martin Cognac VSOP 40%vol. - 0,7L
A02256;Cointreau Orangenlikör 40%vol. - 0,7L
A02224;Bénédictine Dom Likör 40%vol. - 0,7L
A10902;TK Zanderfilet (230-300g) - 5kg
A02380;Pernod Anislikör 40%vol. - 0,7L
A02609;Veuve Clicquot Brut Champagner 12,5%vol. - 0,75L
A05122;Monin Rohrzucker Sirup - 1L
A05107;Monin Grenadine Sirup - 1L
A05123;Monin Erdbeer Sirup - 1L
A05119;Monin Holunderblüte Sirup - 1L
A05124;Monin Karamell Sirup Light - 1L
A05110;Monin Kokosnuss Sirup - 1L
A05111;Monin Lime Juice Sirup - 1L
A05114;Monin Mango Sirup - 1L
A05108;Monin Haselnuss Sirup - 1L
A05106;Monin Curacao Blue Sirup - 1L
A05116;Monin Pfirsich Sirup - 1L
A05117;Monin Vanille Sirup - 1L
A05125;Monin Pink Grapefruit Sirup - 1L
A05126;Monin Wassermelone Sirup - 1L
A05115;Monin Passionsfrucht Maracuja Sirup - 1L
A05127;Monin Gurke Sirup - 1L
A05128;Monin Orange Spritz Sirup - 1L
A05148;Monin Granatapfel Sirup - 1L
A05129;Monin Pfefferminz Sirup - 1L
A05109;Monin Himbeere Sirup - 1L
A05130;Monin Amaretto Sirup - 1L
A05131;Monin Lavendel Sirup - 1L
A05132;Monin Brombeere Sirup - 1L
A05133;Monin Hibiskus Sirup - 1L
A05134;Monin Orange Sirup - 1L
A05135;Monin Heidelbeere Sirup - 1L
A05136;Monin Basilikum Sirup - 1L
A05137;Monin Sauerkirsche Sirup - 1L
A05121;Monin Kiwi Sirup - 1L
A05138;Monin Rose Sirup - 1L
A05139;Monin Grüner Apfel Sirup - 1L
A05140;Monin Ananas Sirup - 1L
A05141;Monin Gelbe Banane Sirup - 1L
A05142;Monin Waldmeister Sirup - 1L
A05143;Monin Salted Caramel Sirup - 1L
A05118;Monin Zimt Sirup - 1L
A02333;Lillet Blanc Aperitif 17%vol. - 0,75L
A02938;Lillet Rosé Aperitif 17%vol. - 0,75L
A02939;Lillet Rouge Aperitif 17%vol. - 0,75L
A05832;Beaufor Grobkörniger Senf - 980g
A06415;Bonduelle Rote Kidney Bohnen - 2650ml
A06413;Bonduelle Goldmais - 2650ml
A11122;TK Bonduelle Broccoli 40/60 - 2,5kg
A11121;TK Bonduelle Blattspinat - 2,5kg
A11137;TK Bonduelle Paprikastreifen rot/gelb/grün - 2,5kg
A11132;(X)TK Bonduelle Kaisergemüse - 2,5kg
A11138;TK Bonduelle Kaisergemüse EXQUISIT - 2,5kg
A06414;Bonduelle Goldmais - 850ml
A04682;President Creme Fraiche - 500g
A05023;Traubenkernöl - 1L
A05060;Walnussöl - 1L
A02034;Glas Desperados Tequila Bier - 24x0,33L
A06588;(X)Vanelli Sardellenfilets in Sonnenblumenöl - 600g
A02607;Moet&Chandon Imperial Rose Champagner 12%vol. - 0,75L
A02606;Moet&Chandon Ice Imperial Champagner 12,5%vol. - 0,75L
A02792;Moet&Chandon Brut Imperial Champagner 12,5%vol. - 0,75L
A02591;Dom Perignon Vintage Rose Brut Champagner 12,5%vol. - 0,75L
A02605;Moet&Chandon Ice Imperial Rose Champagner 12,5%vol. - 0,75L
A02590;Dom Perignon Vintage Brut Champagner 12,5%vol. - 0,75L
A02347;Martell VSOP Cognac 40%vol. - 0,7L
A05146;Pulco Zitronensaft - 0,7L
A05147;Pulco Limettensaft - 0,7L
A04638;President Ziegenkäserolle Tradition 45% - 1kg
A04686;President Ziegenfrischkäse - 1kg
A02307;Hennessy Vs Cognac 40%vol. - 0,7L
A02910;Heidsieck Monopole Blue Top Brut Champagner 12,5%vol. - 0,75L
A02911;Heidsieck Monopole Red Top Brut Champagner 12,5%vol. - 0,75L
A02912;Heidsieck Monopole Rose Top Brut Champagner 12,5%vol. - 0,75L
A11140;(X) TK Golden Pagoda Knoblauchzehen 250/350 - 1kg
A06187;Frisch Rote Bete gekocht per Stk.
A06661;Golden Lion Bambus in Streifen - 2950g
A06660;Golden Lion Bambus geschnitten - 2950g
A06662;Golden Lion Bambusspitzen - 2950g
A05604;Kraft Salatmayonnaise 50% - 10kg
A03343;Misako Sushi Reis - 10kg
A08510;Plastiklöffel transparent - 50Stk.
A05980;Podravka Vegeta - 1kg
A05981;Podravka Vegeta - 5kg
A02736;Grasevina Kutjevo Weißwein Trocken 12%vol. - 0,75L
A02861;Citluk Zilavka Weißwein Trocken 12,5%vol. - 1L
A02679;Blatina Citluk Rotwein Trocken 12,5%vol. - 1L
A01449;Pet Schweppes Bitter Lemon - 6x1L
A01451;Pet Schweppes Tonic Water - 6x1L
A01450;Pet Schweppes Ginger Ale - 6x1L
A01172;Glas Schweppes Bitter Lemon - 24x0,2L
A01176;Glas Schweppes Tonic Water - 24x0,2L
A01173;Glas Schweppes Ginger Ale - 24x0,2L
A01175;Glas Schweppes Soda Water - 24x0,2L
A01403;Pet Schweppes Wild Berry - 6x1L
A01177;Glas Schweppes Wild Berry - 24x0,2L
A01174;Glas Schweppes Ginger Beer - 24x0,2L
A03167;Ewald Blattgelatine weiß - 1kg
A03046;Blattgelatine Rind Halal (silber) - 1kg
A01629;Capri Sun Multivitamin - 10x0,2L
A01630;Capri Sun Orange - 10x0,2L
A01625;Capri Sun Elfentrank - 10x0,2L
A01628;Capri Sun Monster Alarm - 10x0,2L
A01631;Capri Sun Safari - 10x0,2L
A01626;Capri Sun Kirsch - 10x0,2L
A03014;Leimer Croutons Zwiebel&Knoblauch - 500g
A02337;Malterserkreuz Aquavit 40%vol. - 0,7L
A02806;XUXU Erdbeerlimes 15%vol. - 1L
A02383;Pitu Cachaca 40%vol. - 0,7L
A02279;Escorial Grün Kräuterlikör 56%vol. - 0,7L
A03341;Müller`s Mühle Kartoffelmehl - 10kg
A03364;Müller's Mühle Milch Reis - 5kg
A03336;Müller's Mühle Grüne Erbsen - 10kg
A03363;Müller's Mühle Kichererbsen - 5kg
A03362;Müller's Mühle Gelbe Schälerbsen - 10kg
A03337;(X)Müller's Mühle Weiße Bohnen klein - 10kg
A03359;Müller's Mühle Teller Linsen - 5kg
A03338;(X)Müller's Mühle Teller Linsen - 10kg
A03360;Müller's Mühle Rote Linsen - 5kg
A03340;(X)Müller's Mühle Bulgur - 500g
A03356;Neuss&Wilke Parboiled Langkornreis Spitze - 10kg
A03355;Neuss&Wilke Parboiled Langkornreis Spitze - 25kg
A03299;(X)Milchreis Rundkorn Standart Reis - 10kg
A03361;Müller's Mühle Schwarze Bohnen - 5kg
A03298;Müllers Mühle Wildreis - 1kg
A03325;Müller's Mühle Beluga Linsen - 1kg
A03365;Müller's Mühle Pardina Linsen - 1kg
A03297;Müllers Mühle Langkorn & Wildreis - 2kg
A03335;(X)Müller's Mühle Vollkorn Naturreis parboiled - 2kg
A03326;Müller's Mühle Gelbe Linsen - 1kg
A03358;Müller's Mühle Bulgur ZIP - 2kg
A03357;Müller's Mühle Couscous ZIP - 2kg
A03419;Brata Paniermehl Gold - 10kg
A04692;Philadelphia Frischkäsezubereitung natur 68% - 1,65kg
A05210;Kraft French Dressing - 5L
A05212;Kraft Italian Dressing - 5L
A05214;Kraft Joghurt Dressing - 5L
A05216;Kraft Joghurt Standard Dressing - 5L
A01302;Münsterländer Kakao - 12x0,5L
A01300;Münsterländer Banane - 12x0,5L
A01303;Münsterländer Vanille - 12x0,5L
A01301;Münsterländer Erdbeer - 12x0,5L
A10604;TK Best Burger Hamburgerfleisch 62,5g - 5kg
A10600;TK Best Burger Hamburgerfleisch 100g - 5kg
A10601;TK Best Burger Hamburgerfleisch 125g - 5kg
A10620;TK Ranch Master Hamburgerfleisch 62,5g - 5kg
A10632;TK Ranch Master Hamburgerfleisch 100g - 5kg
A10618;TK Ranch Master Hamburgerfleisch 125g - 5kg
A10619;TK Ranch Master Hamburgerfleisch 180g - 4,5kg
A10124;TK Ranch Master Cevapcici 25g - 1kg
A03016;Milly Lillys Kakao - 900g
A03414;Frießinger Hartweizengrieß - 500g
A01169;Glas Möller Apfelsaft klar - 24x0,2L
A01171;Glas Möller Sauerkirschsaft - 24x0,2L
A01170;Glas Möller Orangensaft - 24x0,2L
A05349;Lukull Soße Hollandaise - 1L
A05348;Lukull Soße Bearnaise - 1L
A03160;Carte D'Or Dessertkirschen - 2kg
A05346;Lukull Käse-Gratin Soße - 1L
A09801;Dr. Becher Gläserreiniger Pro - 1L
A09777;Dr. Becher Becharein Gläser Spültabs - 75Stk.
A09793;Dr. Becher Bürsten Rein flüssig - 1L
A09799;Dr. Becher Schnelldesinfektion - 1L
A09795;Dr. Becher Hände Desinfektion für Eurospender - 1L
A09792;Dr. Becher Fettlöser - 1L
A09790;Dr. Becher Fettlöser - 10L
A09791;Dr. Becher Edelstahl Pflege - 1L
A09794;Dr. Becher Kaffeemaschinen Reiniger - 1kg
A09772;Dr. Becher Sahne- & Eism. Desinfektionsreiniger - 1L
A09800;Dr. Becher Milchaufschäumer Reiniger - 1L
A09798;Dr. Becher Backofen- und Grillreiniger - 1L
A09796;Dr. Becher Backofen- und Grillreiniger - 5L
A09770;Dr. Becher Fettlöser - 5L
A09771;Dr. Becher Grill Reiniger - 5L
A09797;Dr. Becher Grill Rein - 1L
A04503;Apostels Proto Joghurt 10% - 10kg
A02087;Glas Warsteiner Pils - 24x0,33L
A02086;Glas Warsteiner Pils - 20x0,5L
A06541;Steinhaus Kaiser-/Süßkirschen - 850ml
A06519;Apfelkompott mit Stücken gezuckert - 2650ml
A06542;Steinhaus Sauerkirschen ohne Stein - 720ml
A03579;Armbruster Bauernspätzle mit Ei - 5kg
A03706;Mocambo Kaffee Suprema - 1kg
A03704;Mocambo Kaffee Brasilia - 1kg
A03705;Mocambo Kaffee Gran Bar - 1kg
A11305;TK Pasta Romana Tortelli mit Lachs - 1kg
A11303;TK Pasta Romana Ravioli Ricotta&Spinat - 500g
A11323;TK Pasta Romana Tortelloni Lachs - 500g
A11326;TK Pasta Romana Tortelli mit Ricotta&Spinat - 1kg
A11307;TK Pasta Romana Tortelloni Ricotta&Spinat - 1kg
A11299;TK Pasta Romana Tortelli mit Kalbfleisch&Steinpilz - 1kg
A11324;TK Pasta Romana Ravioli Tomate&Mozzarella - 500g
A11304;TK Pasta Romana Tortelli mit Ziegenkäse&Feige - 500g
A10724;TK Meat Selection Goldschnitzel 180g - 7,2kg
A10725;TK Meat Selection/Artland Goldschnitzel 200g - 8kg
A10727;TK Meat Selection Goldschnitzel 250g - 9kg
A10722;TK Meat Selection Goldschnitzel 120g - 7,2kg
A10723;TK Meat Selection Goldschnitzel 160g - 6,4kg
A10726;TK Meat Selection/Artland Goldschnitzel 220g - 8,8kg
A06100;Bad Reichenhaller Markensalz - 15kg
A06116;Bad Reichenhaller Alpen Jodsalz - 15kg
A06105;Safrisalz Tafelsalz - 500g
A06103;Salta Speisesalz - 25kg
A06114;Seldor Meersalz grob - 5kg
A02084;Glas Vitamalz - 20x0,5L
A02085;Glas Vitamalz - 24x0,33L
A07496;Schmitz Grillanzünder flüssig - 1L
A03123;Weinrich's 1895 Vollmilch Kuvertüre - 2,5kg
A03122;Weinrich's 1895 Zartbitter Kuvertüre - 2,5kg
A03124;Weinrich's Weiße Kuvertüre - 2,5kg
A03156;Weinrich's Vollmilch Kuvertüre Tropfen - 1,5kg
A03157;Weinrich's Bitterschokolade Kuvertüre Tropfen - 1,5kg
A03158;Weinrich's Weiße Schokolade Kuvertüre Tropfen - 1,5kg
A05222;P&W Burger Dressing - 900ml
A02039;Glas Erdinger Weißbier trüb - 20x0,5L
A02038;Glas Erdinger Weißbier alkoholfrei - 20x0,5L
A01245;Glas Granini Apfelsaft klar - 24x0,2L
A01253;Glas Granini Orangensaft - 24x0,2L
A01249;Glas Granini Schwarze Johannisbeere - 24x0,2L
A01246;Glas Granini Bananen-Nektar - 24x0,2L
A01250;Glas Granini Kirsch-Nektar - 24x0,2L
